gen	nevals	avg    	std    	min     	max    
0  	80    	11.3332	7.26072	0.817662	37.9215
1  	61    	12.0216	8.35334	0.516605	37.9215
2  	67    	13.0543	8.03191	0.77833 	37.9215
3  	58    	13.8429	9.26407	0.648995	37.9215
4  	57    	13.5399	9.69376	0.559918	37.9215
5  	56    	14.1733	10.6783	0.61148 	63.4947
6  	64    	12.8286	9.90038	0.490637	63.4947
7  	65    	13.2761	8.00378	0.803236	37.9215
8  	65    	13.961 	8.40388	0.639252	33.1147
9  	59    	13.4975	7.71221	0.782259	32.6944
10 	64    	13.6464	8.01489	0.745763	32.6944
11 	59    	13.3574	8.48705	0.709369	28.9321
12 	63    	13.6428	8.16009	0.770412	28.9321
13 	54    	13.8025	7.63608	0.786195	29.2287
14 	60    	13.021 	8.04758	0.902298	34.5464
15 	65    	12.2717	8.21298	0.524173	34.5464
16 	55    	14.1004	8.7978 	0.629098	34.5464
17 	62    	14.8709	9.5951 	0.847852	36.4778
18 	59    	14.3202	8.82352	0.78607 	35.2799
19 	60    	13.8911	8.84417	0.706094	38.6268
20 	56    	14.8564	10.003 	0.750775	38.6268
21 	65    	14.4607	9.75431	0.795358	39.3632
22 	60    	15.5512	10.7553	0.865122	40.3216
23 	69    	15.7783	10.1496	3.76647 	40.9277
24 	59    	16.7403	10.7573	1.03592 	40.9277
25 	58    	17.6044	11.8026	0.690603	43.8397
26 	61    	15.5773	11.5375	1.02422 	43.8397
27 	67    	14.0249	10.2614	0.749943	39.5138
28 	64    	15.0364	9.85112	0.779053	41.5197
29 	63    	14.9691	11.3613	0.888429	49.5976
30 	64    	14.5038	11.0561	0.680904	41.5197
31 	58    	15.4082	9.82671	0.62942 	40.0624
32 	56    	17.162 	10.9204	0.641088	40.0624
33 	65    	14.323 	10.3673	0.909376	41.344 
34 	68    	15.4911	10.2574	1.34327 	45.5659
35 	60    	13.8266	10.6216	0.759316	45.5659
36 	54    	16.1743	10.7876	0.732915	44.3208
37 	63    	15.1487	11.3414	0.722609	44.3208
38 	60    	14.9512	10.8152	0.887773	44.3208
39 	56    	15.2509	9.98798	0.707472	42.6811
40 	60    	14.8197	9.3985 	0.745527	37.3652
41 	69    	11.8753	6.96274	0.693881	33.409 
42 	58    	13.2076	6.72371	1.27743 	33.409 
43 	51    	14.5118	8.03058	0.767864	35.1403
44 	61    	13.417 	8.0947 	0.837656	31.8886
45 	66    	12.3643	7.6219 	0.642552	31.8886
46 	63    	12.5121	8.23676	0.796133	34.0972
47 	64    	13.6909	9.21075	1.2863  	35.6535
48 	54    	14.1866	9.69916	0.926479	35.6535
49 	58    	16.7832	8.91558	0.992995	36.2723
50 	62    	15.0381	9.75812	0.654998	36.456 
51 	59    	12.9494	8.95487	0.828011	35.3134
52 	64    	12.7117	8.35204	0.67277 	35.0985
53 	69    	12.9304	8.41886	0.734356	35.262 
54 	63    	13.0569	8.43705	0.974975	35.4686
55 	58    	11.9255	7.23754	0.879552	35.0985
56 	59    	13.2193	6.6819 	0.83495 	35.0985
57 	59    	12.4858	8.87359	0.921977	38.4529
58 	54    	11.6673	7.53474	0.710528	35.0985
59 	63    	11.7126	6.19666	0.867072	27.092 
60 	61    	12.3006	6.6865 	0.763354	29.4977
61 	63    	13.2169	7.22653	0.881171	29.4977
62 	62    	13.3949	7.4913 	0.730733	29.4977
63 	68    	11.943 	6.98673	0.591548	29.4977
64 	65    	11.2183	6.22808	0.825224	28.5801
65 	59    	11.2913	6.41536	0.600578	27.6783
66 	59    	12.0745	5.75995	1.09743 	21.4653
67 	63    	11.8365	6.13898	0.847897	27.9567
68 	63    	11.2664	6.30488	0.807635	26.6191
69 	67    	12.0361	6.21735	0.756652	27.4495
70 	61    	10.8707	6.57277	0.671147	23.2163
71 	64    	12.0512	5.7802 	0.934801	23.403 
72 	64    	11.1527	5.44727	0.926306	23.403 
73 	62    	12.123 	5.42235	1.02629 	24.2491
74 	68    	11.2556	6.30027	0.676976	24.2491
75 	65    	11.0228	5.81049	1.0451  	25.3571
76 	60    	10.7933	6.0998 	0.8527  	25.3571
77 	57    	12.084 	6.13402	0.796767	29.1507
78 	59    	10.6315	6.83723	0.663923	29.1507
79 	63    	10.9251	5.90533	0.694858	22.3617
80 	65    	11.1587	5.17479	0.657949	21.4676
81 	59    	11.7088	6.13056	0.707956	23.5906
82 	60    	10.8718	5.6319 	0.716848	21.4676
83 	65    	9.47463	5.56776	0.841807	21.4676
84 	63    	10.5668	5.69874	0.945213	25.5741
85 	62    	10.3163	6.45339	0       	25.5741
86 	70    	10.5565	6.27556	0.766932	29.5257
87 	59    	10.8928	5.98547	0.841214	29.5257
88 	65    	11.535 	6.22255	0.810863	29.5257
89 	61    	12.7447	6.11146	0.622841	24.831 
90 	63    	10.9317	6.94727	0.712401	28.5698
91 	63    	11.7284	6.45565	0.687393	28.5698
92 	61    	13.4229	5.32211	0.893775	24.5089
93 	57    	12.1427	6.31214	0.778631	29.1193
94 	56    	12.096 	6.47601	0.692858	23.9819
95 	60    	11.964 	5.87392	0.872642	23.9819
96 	63    	11.3902	6.67295	0.590292	25.9317
97 	58    	11.7478	7.16172	0.736525	25.9317
98 	62    	11.5782	6.70821	0.615258	26.0934
99 	64    	12.7007	6.80626	0.829232	26.0934
100	67    	10.6008	6.70608	0.715247	25.9969
