gen	nevals	avg    	std    	min    	max    
0  	80    	14.8842	6.00732	8.61694	56.9624
1  	23    	18.2049	10.9209	8.85554	90.5086
2  	23    	21.8911	10.619 	8.17817	56.9624
3  	22    	26.6426	11.8228	8.18092	62.7408
4  	20    	33.4099	15.6565	6.58091	62.7408
5  	20    	41.2299	15.2103	11.0075	62.7408
6  	15    	48.9901	14.3457	10.0458	62.7408
7  	27    	51     	15.3977	7.56116	72.8522
8  	30    	53.702 	15.1855	9.36715	89.1182
9  	16    	56.4734	15.1233	7.31705	66.6143
10 	16    	59.8346	13.172 	12.288 	69.1234
11 	22    	57.5535	19.2473	8.32262	84.9541
12 	20    	60.9854	18.1249	6.32669	84.9541
13 	23    	61.6124	20.4602	9.83105	84.9541
14 	23    	64.1415	23.1888	9.94603	85.6878
15 	20    	67.8949	22.7632	10.2804	85.6878
16 	23    	69.2921	26.4597	10.2779	86.1065
17 	22    	73.8117	22.9916	8.93001	88.9047
18 	24    	74.6622	22.6198	12.378 	90.8548
19 	27    	73.3263	23.6624	12.478 	90.8548
20 	22    	78.5522	20.3885	11.1106	90.8548
21 	27    	76.8884	21.8733	14.2894	90.8548
22 	26    	80.661 	19.1242	12.2815	90.8548
23 	16    	81.6645	18.3153	10.011 	90.8548
24 	18    	77.8981	25.9727	12.6645	90.8548
25 	24    	78.6126	24.0832	12.6139	90.8548
26 	26    	77.9071	24.2575	12.2563	90.8548
27 	22    	78.422 	23.2894	12.056 	90.8548
28 	20    	80.0341	23.2492	12.6624	90.8548
29 	19    	79.8565	23.5488	12.0104	90.8548
30 	19    	77.1575	27.269 	10.1498	90.8548
31 	19    	79.2868	24.0207	9.6036 	90.8548
32 	24    	80.067 	22.3548	9.92312	90.8548
33 	21    	78.7578	25.0487	12.5202	90.8548
34 	26    	76.3186	24.4958	8.73149	90.8548
35 	22    	78.3766	23.6682	12.7774	91.0232
36 	30    	72.5788	28.0783	11.4054	91.0232
37 	20    	78.2772	23.916 	13.177 	91.0232
38 	17    	82.8449	18.8761	16.5795	91.0232
39 	22    	77.8957	25.4531	12.8688	91.0232
40 	21    	78.6529	25.364 	10.0967	91.0232
